Config parameter,TestName,VALUE,TYPE(GOOD|BAD),EXPECTATION(PASS|FAIL)
hinted_handoff_enabled,org.apache.cassandra.hints.HintTest#testChangedTopology,TRUE,GOOD,PASS
hinted_handoff_enabled,org.apache.cassandra.hints.HintTest#testChangedTopology,FALSE,BAD,FAIL
hinted_handoff_enabled,org.apache.cassandra.hints.HintTest#testChangedTopologyNotHintable,FALSE,GOOD,PASS
allocate_tokens_for_local_replication_factor,org.apache.cassandra.cql3.IndexQueryPagingTest#pagingOnRegularColumnWithClusteringRestrictions,3,GOOD,PASS
num_tokens,org.apache.cassandra.audit.AuditLoggerTest#testCqlBatch_MultipleTablesAuditing,0,BAD,FAIL
max_value_size_in_mb,org.apache.cassandra.cql3.validation.miscellaneous.SSTableMetadataTrackingTest#testTrackMetadata_rangeTombstone,2048,BAD,FAIL
max_value_size_in_mb,org.apache.cassandra.cql3.validation.miscellaneous.SSTableMetadataTrackingTest#testTrackMetadata_rangeTombstone,2047,GOOD,PASS
native_transport_flush_in_batches_legacy,org.apache.cassandra.audit.AuditLoggerTest#testCqlBatch_MultipleTablesAuditing,FALSE,GOOD,PASS
native_transport_flush_in_batches_legacy,org.apache.cassandra.audit.AuditLoggerTest#testCqlBatch_MultipleTablesAuditing,TRUE,GOOD,PASS
native_transport_max_threads,org.apache.cassandra.audit.AuditLoggerTest#testCqlBatch_MultipleTablesAuditing,128,GOOD,PASS
native_transport_max_threads,org.apache.cassandra.audit.AuditLoggerTest#testCqlBatch_MultipleTablesAuditing,0,BAD,FAIL
batchlog_replay_throttle_in_kb,org.apache.cassandra.audit.AuditLoggerTest#testCqlIndexAuditing,0,BAD,PASS
batchlog_replay_throttle_in_kb,org.apache.cassandra.audit.AuditLoggerTest#testCqlIndexAuditing,-1,BAD,PASS
native_transport_max_concurrent_connections,org.apache.cassandra.cql3.IndexQueryPagingTest#pagingOnRegularColumnWithClusteringRestrictions,0,GOOD,PASS
native_transport_max_concurrent_connections,org.apache.cassandra.cql3.IndexQueryPagingTest#pagingOnRegularColumnWithClusteringRestrictions,9999,GOOD,PASS
native_transport_max_concurrent_connections,org.apache.cassandra.cql3.IndexQueryPagingTest#pagingOnRegularColumnWithClusteringRestrictions,-1,GOOD,PASS
